feature,mean_abs_shap
max_expression,1.1088488
mean_expression,0.9814932
expression_std,0.6783514
community_count,0.30541426
diameter,0.2490095
mean_degree,0.15160637
modularity,0.124936536
spectral_entropy,0.07195672
top5_hub_betweenness,0.07118979
graph_entropy,0.048231293
top5_hub_degree,0.043824952
betti_0,0.04072493
betti_1,0.034912165
n_nodes,0.026027862
n_edges,0.019413995
max_degree,0.0067708176
n_circ_expressed,0.0
avg_clustering,0.0
max_circ_pagerank,0.0
top1_circ_degree,0.0
persistence_entropy,0.0
