feature,dataset_kw_stat_cancer_only,dataset_kw_p_cancer_only,dataset_kw_stat_healthy_only,dataset_kw_p_healthy_only,label_kw_stat_all_samples,label_kw_p_all_samples,batch_sensitive_p_lt_0_001
n_nodes,1865.386848798372,0.0,1913.479121068301,0.0,88.90120316495788,4.150308983510024e-21,True
n_edges,1860.9140081844523,0.0,1859.404403002623,0.0,82.80567176390765,9.052984218259091e-20,True
n_circ_expressed,,,inf,0.0,,,True
mean_expression,417.9442072176116,6.8378010436417e-93,1069.562301778742,1.3627903721995546e-234,1392.3989014093875,9.422521447007671e-305,True
max_expression,1590.176943699731,0.0,1573.6814159292044,0.0,165.65282304697334,6.587245987479704e-38,True
expression_std,1590.176943699731,0.0,1573.6814159292044,0.0,97.49385032391481,5.402379574157582e-23,True
mean_degree,1840.5345878032279,0.0,1810.460809113842,0.0,113.8966814668182,1.3727821290575403e-26,True
max_degree,3.6237636950379777,0.05695987732846352,16.03555185214117,6.216416748941975e-05,45.30710266252366,1.6843716937899988e-11,True
top5_hub_degree,34.671852527247275,3.902333321565607e-09,10.818653013094492,0.0010048256705653988,10.392043738605253,0.0012655946346873026,True
top1_circ_degree,,,inf,0.0,,,True
max_circ_pagerank,,,inf,0.0,,,True
top5_hub_betweenness,1196.3279269444774,3.8312815144567306e-262,1030.0300132226312,5.332354803617198e-226,87.21930626181711,9.713101967055026e-21,True
avg_clustering,,,inf,0.0,,,True
diameter,1231.8485305567863,7.3080226283932135e-270,3006.350610131078,0.0,59.87023380098189,1.0132231546771884e-14,True
graph_entropy,1857.8130933520838,0.0,1853.4230848190357,0.0,100.707803180632,1.0660476726120978e-23,True
spectral_entropy,1870.2787998107603,0.0,2079.8627391807,0.0,106.15266657525413,6.8267950999296565e-25,True
community_count,1606.706360528473,0.0,1611.1958785232289,0.0,146.84964818035556,8.46445487189278e-34,True
modularity,1555.0699316715836,0.0,1363.587073163779,1.7183434691388317e-298,95.04674973767602,1.85941813613279e-22,True
betti_0,2013.1075426593495,0.0,2748.374590289183,0.0,206.1587094211582,9.461557246367432e-47,True
betti_1,1894.4378656988224,0.0,1959.100168992216,0.0,94.73014372198146,2.18191183791134e-22,True
persistence_entropy,,,inf,0.0,,,True
